price,millage,year,make,model,city,state,accidents,owners,use
16995,28211,2019,Toyota,Camry, Newark, NJ,0,1.0,Personal
23286,13223,2014,Mercedes-Benz,M-Class, Secaucus, NJ,0,1.0,Personal
37995,24993,2018,Lexus,GX, New York, NY,0,1.0,Personal
13950,66488,2010,Land,Rover Range Rover Sport, Brooklyn, NY,2,5.0,Personal
43686,30679,2017,Maserati,Levante, Secaucus, NJ,0,1.0,Personal
24897,39339,2019,Mazda,CX-9, New York, NY,0,1.0,Personal
13542,82222,2017,Subaru,Forester, Carlstadt, NJ,0,1.0,Personal
39995,24527,2017,Lexus,LS, New York, NY,0,1.0,Personal
38686,5649,2019,Audi,A5, Secaucus, NJ,0,1.0,Personal
34806,16438,2017,Mercedes-Benz,GLC, New York, NY,0,1.0,Personal
33998,31193,2017,Volvo,XC90, New York, NY,0,1.0,Personal
20497,38651,2019,Mazda,CX-5, New York, NY,0,1.0,Personal
10995,75444,2011,Nissan,Murano, Union City, NJ,0,2.0,Personal
6770,93200,2012,Hyundai,Veloster, Newark, NJ,0,2.0,Personal
22097,29977,2019,Nissan,Maxima, New York, NY,0,1.0,Personal
1995,140252,1999,Toyota,Camry, Staten Island, NY,0,4.0,Personal
52900,27038,2018,BMW,7 Series, Kearny, NJ,1,1.0,Personal
12995,16932,2019,Toyota,Corolla, Newark, NJ,0,2.0,Fleet
27495,60200,2015,Lexus,GX, New York, NY,0,1.0,Personal
9880,48876,2011,Mercedes-Benz,C-Class, Bloomfield, NJ,2,3.0,Personal
14995,47416,2014,Ford,Escape, Union City, NJ,0,1.0,Personal
32986,5210,2019,Audi,A4, Secaucus, NJ,1,1.0,Personal
13995,107937,2013,Acura,MDX, Union City, NJ,1,2.0,Personal
13995,72195,2013,Mercedes-Benz,M-Class, Newark, NJ,0,3.0,Personal
11995,69560,2015,Honda,Civic, Union City, NJ,0,2.0,Fleet
10995,35605,2019,Hyundai,Elantra, Newark, NJ,1,1.0,Fleet
38490,9575,2018,Lexus,RX, New York, NY,0,1.0,Personal
12395,131579,2011,Toyota,Highlander, Union City, NJ,0,2.0,Personal
12942,22970,2017,Nissan,Altima, Carlstadt, NJ,1,2.0,Personal
3581,88288,2001,Chevrolet,S-10, New York, NY,0,5.0,Personal
12995,38899,2017,Honda,Accord, Long Island City, NY,5,1.0,Personal
27697,26566,2019,Mazda,CX-9, New York, NY,0,1.0,Personal
13995,63509,2013,Toyota,RAV4, Union City, NJ,0,1.0,Personal
34990,20084,2017,Jeep,Grand Cherokee, New York, NY,0,1.0,Personal
12742,38968,2015,Ford,Escape, Carlstadt, NJ,0,2.0,Personal
20499,31532,2019,Toyota,Camry, Brooklyn, NY,0,1.0,Personal
17900,40550,2017,BMW,3 Series, Rahway, NJ,3,1.0,Fleet
16694,39688,2017,Honda,Accord, Union, NJ,0,1.0,Personal
1995,232753,2000,Nissan,Xterra, Hasbrouck Heights, NJ,1,5.0,Personal
16656,80248,2010,Mercedes-Benz,S-Class, Bloomfield, NJ,1,3.0,Fleet
25335,26485,2017,Lexus,ES, Larchmont, NY,0,1.0,Personal
15016,36048,2017,Honda,Accord, Forest Hills, NY,0,1.0,Personal
41884,4438,2020,Mercedes-Benz,GLC, Paramus, NJ,0,1.0,Personal
