car_name,price,millage,location,history
2015 Chevrolet Equinox,"$12,995","39,667 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Civic,"$16,990","51,210 miles","7 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2019 Nissan Sentra,"$10,995","39,815 miles","14 mi - Rahway, NJ","1 accident, 1 Owner, Personal use"
2019 Toyota Prius,"$21,597","14,166 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2014 Mercedes-Benz C-Class,"$14,792","69,258 miles","1.3 mi - Jersey City, NJ","2 accidents, 3 Owners, Personal use"
2010 Audi A5,"$7,950","152,646 miles","5.7 mi - Brooklyn, NY","1 accident, 2 Owners, Personal use"
2015 Ford Explorer,"$14,995","112,329 miles","4.3 mi - Newark, NJ","No accidents, 1 Owner, Personal use"
2012 BMW X6 M,"$26,995","71,255 miles","4.3 mi - Newark, NJ","1 accident, 1 Owner, Personal use"
2014 Audi Q7,"$19,990","87,041 miles","1.3 mi - Jersey City, NJ","No accidents, 3 Owners, Personal use"
2019 Chevrolet Impala,"$18,297","22,029 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2008 Land Rover Range Rover,"$11,950","91,591 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Personal use"
2014 BMW X6,"$22,792","64,963 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Fleet use"
2019 Lexus RX,"$37,990","9,522 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Nissan Frontier,"$25,197","23,732 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2010 Acura TL,"$9,990","116,299 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2019 Chevrolet Cruze,"$11,995","34,009 miles","4.1 mi - Union City, NJ","No accidents, 1 Owner, Fleet use"
2016 Audi S3,"$22,686","59,360 miles","4.7 mi - Secaucus, NJ","1 accident, 1 Owner, Personal use"
2016 Ford Escape,"$13,500","45,031 miles","5.1 mi - Newark, NJ","No accidents, 1 Owner, Fleet use"
2010 Audi S5,"$9,950","140,649 miles","5.7 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$39,995","6,598 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2013 BMW 5 Series,"$11,992","114,296 miles","1.3 mi - Jersey City, NJ","1 accident, 2 Owners, Fleet use"
2019 Porsche Cayenne,"$72,995","7,403 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2015 Acura MDX,"$17,995","98,515 miles","2.5 mi - Union City, NJ","No accidents, 2 Owners, Fleet use"
2009 Rolls-Royce Phantom,"$169,995","27,267 miles","4.8 mi - New York, NY","No accidents, 2 Owners, Personal use"
2015 Cadillac Escalade,"$32,792","70,001 miles","1.3 mi - Jersey City, NJ","1 accident, 3 Owners, Personal use"
2017 Mercedes-Benz GLE,"$28,886","46,176 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Escape,"$17,797","27,679 miles","4.6 mi - New York, NY","1 accident, 1 Owner, Personal use"
2005 Volvo XC90,"$2,950","190,210 miles","5.7 mi - Brooklyn, NY","3 accidents, 3 Owners, Personal use"
2019 Volkswagen Jetta,"$13,881","34,631 miles","5.1 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Porsche Macan,"$49,995","3,945 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2013 FIAT 500,"$6,997","78,072 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2017 Ford Escape,"$11,542","64,926 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Fleet use"
2019 Lexus RX,"$38,490","9,113 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2016 Lexus RX,"$27,995","27,246 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Ford Ranger,"$29,197","20,689 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Jeep Grand Cherokee,"$29,990","2,553 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
